global_step,epoch,epochs,step,iters,loss,logits_loss,aux_loss,lr,epoch_eta_min
1,1,2,100,39695,7.5204,7.5204,0.0,0.0005,94.0
2,1,2,200,39695,7.0459,7.0459,0.0,0.00049999,92.0
3,1,2,300,39695,6.7055,6.7055,0.0,0.00049998,91.0
4,1,2,400,39695,6.6673,6.6673,0.0,0.00049997,91.0
5,1,2,500,39695,6.2632,6.2632,0.0,0.00049996,91.0
6,1,2,600,39695,6.1909,6.1909,0.0,0.00049994,91.0
7,1,2,700,39695,6.0106,6.0106,0.0,0.00049991,90.0
8,1,2,800,39695,5.7096,5.7096,0.0,0.00049989,90.0
9,1,2,900,39695,5.478,5.478,0.0,0.00049986,90.0
10,1,2,1000,39695,5.3312,5.3312,0.0,0.00049982,90.0
11,1,2,1100,39695,4.9889,4.9889,0.0,0.00049979,90.0
12,1,2,1200,39695,4.7545,4.7545,0.0,0.00049975,90.0
13,1,2,1300,39695,4.5683,4.5683,0.0,0.0004997,89.0
14,1,2,1400,39695,4.7297,4.7297,0.0,0.00049965,89.0
15,1,2,1500,39695,4.0677,4.0677,0.0,0.0004996,89.0
16,1,2,1600,39695,4.3034,4.3034,0.0,0.00049955,89.0
17,1,2,1700,39695,4.0377,4.0377,0.0,0.00049949,88.0
18,1,2,1800,39695,3.9993,3.9993,0.0,0.00049943,88.0
19,1,2,1900,39695,3.8915,3.8915,0.0,0.00049936,88.0
20,1,2,2000,39695,3.807,3.807,0.0,0.0004993,88.0
21,1,2,2100,39695,3.8717,3.8717,0.0,0.00049922,88.0
22,1,2,2200,39695,3.8196,3.8196,0.0,0.00049915,87.0
23,1,2,2300,39695,3.8197,3.8197,0.0,0.00049907,87.0
24,1,2,2400,39695,3.351,3.351,0.0,0.00049899,87.0
25,1,2,2500,39695,3.8132,3.8132,0.0,0.0004989,87.0
26,1,2,2600,39695,3.7381,3.7381,0.0,0.00049881,86.0
27,1,2,2700,39695,3.4305,3.4305,0.0,0.00049872,86.0
28,1,2,2800,39695,3.2718,3.2718,0.0,0.00049862,86.0
29,1,2,2900,39695,3.6097,3.6097,0.0,0.00049852,86.0
30,1,2,3000,39695,3.3585,3.3585,0.0,0.00049842,85.0
31,1,2,3100,39695,2.9634,2.9634,0.0,0.00049831,85.0
32,1,2,3200,39695,3.1857,3.1857,0.0,0.0004982,85.0
33,1,2,3300,39695,3.1033,3.1033,0.0,0.00049808,85.0
34,1,2,3400,39695,3.2283,3.2283,0.0,0.00049797,85.0
35,1,2,3500,39695,3.1349,3.1349,0.0,0.00049785,84.0
36,1,2,3600,39695,3.0476,3.0476,0.0,0.00049772,84.0
37,1,2,3700,39695,3.095,3.095,0.0,0.00049759,84.0
38,1,2,3800,39695,2.9155,2.9155,0.0,0.00049746,84.0
39,1,2,3900,39695,3.0675,3.0675,0.0,0.00049733,83.0
40,1,2,4000,39695,2.8125,2.8125,0.0,0.00049719,83.0
41,1,2,4100,39695,2.8489,2.8489,0.0,0.00049705,83.0
42,1,2,4200,39695,2.7577,2.7577,0.0,0.0004969,83.0
43,1,2,4300,39695,2.9684,2.9684,0.0,0.00049675,83.0
